"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 13;Marcos;Smartphone Android;42985;260088;675,574959538034;100596;37572;27021;20042;16846;15284;00:00:08;102678;318;114;102441;1413"
"Vídeo 13;Marcos;iPad;42985;3382;14,6762043678942;1557;485;309;210;167;147;00:00:08;1568;3;1;1567;6"
"Vídeo 13;Marcos;Desktop;42985;30015;55,0482546406378;9860;3233;2424;1811;1556;1393;00:00:07;10009;10;10;9978;91"
"Vídeo 13;Marcos;iPhone;42985;78846;246,438347952924;29200;9943;6976;5047;4267;3793;00:00:07;29560;55;27;29522;239"
"Vídeo 13;Marcos;Outros;42985;0;0,0399624353108078;4;3;2;2;2;2;00:00:29;4;;;4;"
"Vídeo 13;Marcos;Tablet Android;42985;2048;8,12236497692169;1133;392;273;185;156;138;00:00:09;1153;3;1;1153;16"
"Vídeo 13;Marcos;iPod;42985;0;0,0999060882770196;10;2;1;1;1;1;00:00:06;10;;;10;"
"Vídeo 23;Osvaldo;iPod;42990;0;0,0599448507373217;6;3;1;1;1;1;00:00:13;6;;;6;"
"Vídeo 23;Osvaldo;iPhone;42990;96638;196,36934020701;44838;19049;13252;10417;8667;7996;00:00:13;45243;79;45;45189;226"
"Vídeo 23;Osvaldo;iPad;42990;3712;13,2378212044919;2457;941;594;462;348;326;00:00:15;2468;6;3;2467;1"
"Vídeo 58;Luiz;Outros;43007;0;0,0199816169124406;;;;;;;00:00:01;0;;;;"
"Vídeo 58;Luiz;iPod;43007;0;0,0999080845622028;8;3;3;2;2;1;00:00:09;8;;;8;"
"Vídeo 58;Luiz;iPhone;43007;65516;222,475322703113;24123;8183;5705;4073;3348;3010;00:00:07;24427;40;23;24403;217"
